Priority,Description,URL,Estimation size,1,2,3,4,5,6
1,Setting up the build environment,,10,0,0,0,0,0,0
1,Deepen our knowledge of the ECS pattern,https://skypjack.github.io/,20,0,0,0,0,0,0
1,Deepen our knowledge of Scala 3,https://docs.scala-lang.org/scala3/new-in-scala3.html,30,0,0,0,0,0,0
1,Design architecture,,10,0,0,0,0,0,0
2,As a framework user I want to create a World,,20,20,0,0,0,0,0
2,As a framework user I want to manipulate the  World's Entities,,20,20,0,0,0,0,0
2,As a framework user I want to manipulate the Entities' Components,,20,20,0,0,0,0,0
2,As a framework user I want to define World's Views,,30,30,22,0,0,0,0
2,As a framework user I want to define and use Systems,,30,30,5,20,0,0,0
2,As a framework user I want to update the World's state,,5,5,5,5,0,0,
3,As a framework I want the framework to be able to update the state of at least 10'000 Entities in less than 10ms,,50,50,50,0,0,0,0
3,As a framework user I would higly appreciate a handy DSL to perform these operations,,40,40,40,15,,,
4,As a framework user I want a working example of the framework,,15,15,15,15,,,
